Recency_of_Purchase,Frequency_of_Purchases,Amount_Spent
334,4,5764.091499999983
25,182,4310.0
98,27,1437.24
41,72,1457.55
333,16,294.4
59,80,2226.04
227,4,111.123
255,58,1079.4
237,13,459.4
45,58,2487.43
56,131,5764.091499999983
25,17,928.0600000000001
80,245,5764.091499999983
75,126,2302.06
310,9,174.9
26,256,4737.23
132,23,552.0
30,81,1208.1
314,22,641.38
27,10,150.9
74,165,3421.94
82,62,1527.96
94,49,1196.04
334,13,324.6
48,32,622.93
33,15,377.5
334,76,1548.12
152,219,4008.62
104,38,777.24
44,100,2427.81
27,82,1474.81
207,94,1628.56
51,25,425.27000000000004
334,10,401.9
38,100,2780.66
102,31,504.84000000000003
44,93,439.66
95,64,1582.6000000000001
86,25,1080.48
42,144,2682.63
58,124,2214.9
68,84,1435.66
142,55,1033.65
326,4,111.123
334,10,195.6
72,4,391.7
171,53,1390.39
45,105,3415.3
72,72,1507.1200000000001
55,101,2618.55
101,109,5764.091499999983
331,25,533.33
97,58,1142.88
89,36,686.1
240,15,442.41
47,308,5764.091499999983
26,183,3226.1
135,34,668.58
86,29,600.39
38,41,639.04
118,38,683.5600000000001
25,117,1634.31
185,30,1760.96
101,36,777.2
217,29,510.73
44,28,699.8
48,288,5764.091499999983
32,94,3388.4
66,10,216.4
58,232,5764.091499999983
65,107,4359.32
25,308,5764.091499999983
107,50,806.14
102,36,5764.091499999983
122,15,429.01000000000005
25,184,4447.41
37,96,2466.85
334,10,155.55
26,11,144.06
44,172,4085.46
45,4,111.123
80,57,1002.3100000000001
266,25,431.49
67,21,365.45
45,187,3596.29
179,8,197.88
33,308,5764.091499999983
39,20,348.57
157,43,707.09
79,15,3528.34
96,85,2339.86
67,122,2581.04
89,59,2043.23
94,36,787.4
177,34,626.88
41,60,937.59
76,79,1200.78
33,22,957.05
40,45,682.1899999999999
210,36,657.54
25,308,5764.091499999983
55,308,5764.091499999983
52,164,3640.0499999999997
40,308,5764.091499999983
76,35,669.38
38,224,5764.091499999983
45,300,5764.091499999983
